1	Plaza Vea                     	1	Buenos Aires                  	9693	9693 - P Vea Villa Urquiza.			N
4	Vea                           	1	Buenos Aires                  	9036	36 - La Plata II.	-34.907436500000003	-57.949567000000002	N
4	Vea                           	1	Buenos Aires                  	9056	56 - Luro y Guido	-37.991866999999999	-57.559325999999999	N
4	Vea                           	1	Buenos Aires                  	9119	119 - Ar oz.	-34.61495	-58.434477000000001	N
4	Vea                           	1	Buenos Aires                  	9122	122 - Bah¡a Blanca I			N
4	Vea                           	1	Buenos Aires                  	9127	127 - Bah¡a Blanca. II.			N
4	Vea                           	1	Buenos Aires                  	9153	153 - Mor¢n I.	-34.648712600000003	-58.611531100000001	N
4	Vea                           	1	Buenos Aires                  	9155	155 - Castelar Sur.	-34.655963	-58.651542999999997	N
4	Vea                           	1	Buenos Aires                  	9157	157 - San Miguel.	-34.568452000000001	-58.742759	N
4	Vea                           	1	Buenos Aires                  	9158	158 - Merlo I.	-34.666824300000002	-58.727332199999999	N
4	Vea                           	1	Buenos Aires                  	9159	159 - Merlo II.	-34.672958399999999	-58.723962200000003	N
4	Vea                           	1	Buenos Aires                  	9160	160 - Moreno I.	-34.643518	-58.789194000000002	N
4	Vea                           	1	Buenos Aires                  	9162	162 - Luj n.	-34.562531999999997	-59.117522999999998	N
4	Vea                           	1	Buenos Aires                  	9164	164 - Hurlingham.	-34.602975999999998	-58.635384999999999	N
4	Vea                           	1	Buenos Aires                  	9165	165 - Mercedes.	-34.653115800000002	-59.432608399999999	N
4	Vea                           	1	Buenos Aires                  	9234	234 - Caseros.	-34.6101417	-58.561501499999999	N
4	Vea                           	1	Buenos Aires                  	9240	240 - Boedo.	-34.621736499999997	-58.425463899999997	N
4	Vea                           	1	Buenos Aires                  	9241	241 - Edison.	-38.046366999999996	-57.553939999999997	N
4	Vea                           	1	Buenos Aires                  	9633	633 - Pinocho I.			N
4	Vea                           	1	Buenos Aires                  	9636	636 - Pinocho IV.			N
4	Vea                           	1	Buenos Aires                  	9638	638 - Pinocho VI.			N
4	Vea                           	1	Buenos Aires                  	9640	640 - Pinocho VIII.	-34.916730000000001	-57.956336	N
4	Vea                           	1	Buenos Aires                  	9665	665 - SM Manzanares.	-34.554673999999999	-58.483485999999999	N
4	Vea                           	1	Buenos Aires                  	9692	692 - Lanus			N
4	Vea                           	1	Buenos Aires                  	9696	696 - San Juan.			N
4	Vea                           	1	Buenos Aires                  	9697	697 - Pacheco			N
4	Vea                           	1	Buenos Aires                  	9698	698 - Monte Grande			N
4	Vea                           	1	Buenos Aires                  	9700	700 - C¢rdoba			N
4	Vea                           	1	Buenos Aires                  	9702	702 - Lobos.	-35.185980000000001	-59.097954999999999	N
4	Vea                           	1	Buenos Aires                  	9703	703 - Ca¤uelas.	-35.050041999999998	-58.756238000000003	N
4	Vea                           	1	Buenos Aires                  	9704	704 - SM 704 Tres Arroyos.	-38.377394000000002	-60.272848000000003	N
